comment number,random index,month,year,topic,contribution
532192,74320447,1,2017,23,0.69133973
534802,48745628,1,2017,48,0.68179965
536212,54333782,1,2017,49,0.45586795
541592,65069233,2,2017,14,0.30863196
544013,71108402,2,2017,27,0.6727751
546210,31391054,3,2017,14,0.30854508
547861,79853568,3,2017,16,0.7749482
552349,81029712,4,2017,23,0.7400808
556680,35326680,4,2017,33,0.7163141
557554,40308782,4,2017,16,0.68103045
557863,13469397,4,2017,28,0.6922495
560834,11241721,5,2017,49,0.5141469
561396,68840381,5,2017,33,0.7182907
561397,22203808,5,2017,33,0.71828496
564002,98162968,5,2017,23,0.6845093
564309,61625480,5,2017,14,0.2847415
570115,73870689,6,2017,49,0.4477841
573977,89002852,6,2017,22,0.6132105
574951,93583324,6,2017,23,0.723045
582866,72717517,7,2017,48,0.6944015
586815,10836324,8,2017,4,0.30416206
587346,68165492,8,2017,27,0.672872
588321,51180636,8,2017,23,0.7184024
590201,61531324,8,2017,33,0.8558585
590235,13576109,8,2017,29,0.38537702
592779,94710389,9,2017,29,0.36765313
593989,80933558,9,2017,16,0.68775916
599320,26513329,9,2017,48,0.7067709
602693,18435788,9,2017,22,0.54472303
